wav,spec
91.0,1.1644853523208876e-44
94.0,2.0722304973862947e-43
96.0,1.2330700892515672e-42
98.0,9.114535118232026e-42
100.0,4.5881953725575493e-41
102.0,2.1034851273282486e-40
104.0,8.083082694114841e-40
106.0,2.6159606658106328e-39
108.0,9.602403615047207e-39
110.0,3.408443991258126e-38
114.0,1.4252621638478637e-36
118.0,1.067422884126336e-35
121.0,4.051700087192336e-35
125.0,1.987454285273812e-34
127.0,4.069914410002998e-34
128.0,5.7444341243298305e-34
131.0,1.4848327190957768e-33
132.0,1.9978130262821032e-33
134.0,3.484673907358418e-33
137.0,7.389048953928245e-33
140.0,1.4321301484560162e-32
143.0,2.5322293437301714e-32
147.0,4.741928607273324e-32
151.0,7.685182337038059e-32
155.0,5.307611802124365e-32
159.0,4.237928964480639e-32
162.0,4.6709253186435264e-32
166.0,4.7606310281598096e-32
170.0,4.3059132001084454e-32
173.0,3.699192555433637e-32
177.0,2.7033730713699553e-32
180.0,2.0283355565772807e-32
182.0,1.6328701541899512e-32
186.0,1.035077341813505e-32
191.0,6.992000575985355e-33
194.0,7.121077870599061e-33
198.0,9.975761463533913e-33
202.0,1.627271313319125e-32
205.0,2.390814820712274e-32
210.0,4.4321792669369277e-32
216.0,8.785683436013031e-32
220.0,1.3352679208959949e-31
223.0,1.799166264419065e-31
227.0,2.63431235756852e-31
230.0,4.902187800919049e-22
234.0,8.234644662088936e-22
240.0,1.6724262382939263e-21
246.0,2.9869347827164966e-21
252.0,5.3133003605897604e-21
257.0,8.004772017687996e-21
260.0,6.081084002481151e-21
264.0,3.967333437268828e-21
269.0,5.62142782771156e-21
274.0,7.733258567851862e-21
279.0,1.0279472631429946e-20
284.0,1.321873781214072e-20
290.0,1.7193711993439316e-20
296.0,2.1339868079828357e-20
301.0,2.475126786625353e-20
308.0,6.6998591861579e-21
318.0,8.39381192000243e-21
328.0,8.603922342565963e-21
338.0,8.021546746312544e-21
348.0,6.860933593427331e-21
357.0,1.7809303243149195e-22
366.0,1.0392938605170335e-22
375.0,6.24548431154713e-23
385.0,3.680625178247505e-23
395.0,2.1816898962665096e-23
405.0,1.2668047582641746e-23
414.0,7.524867770515381e-24
422.0,4.563413272606559e-24
430.0,2.681766866456669e-24
441.0,1.2169224869952926e-24
451.0,5.57519551475022e-25
460.0,2.624118901628605e-25
470.0,1.0751510586946416e-25
480.0,4.1451243526627784e-26
490.0,1.5112280910587022e-26
500.0,5.2320904805098216e-27
506.0,3.04919089021298e-27
512.0,1.1209869614067017e-27
520.0,4.970283950797074e-28
530.0,2.5562697236837715e-28
540.0,2.350696467468329e-28
550.0,3.2056865130863246e-28
560.0,4.795861665172865e-28
570.0,7.210868674118243e-28
580.0,1.0738735517202541e-27
590.0,1.5779968783515959e-27
600.0,2.2929034631470907e-27
610.0,3.300018632722578e-27
620.0,4.673441843126089e-27
630.0,6.569638229823264e-27
640.0,9.115717115239401e-27
650.0,1.2559712412489582e-26
658.0,1.6064921147889484e-26
665.0,1.9869432719044185e-26
675.0,2.677070643674367e-26
685.0,3.5533524774807086e-26
695.0,4.701679619498546e-26
705.0,6.149216677269049e-26
716.0,8.188433339921945e-26
726.0,1.0557607146796652e-25
735.0,1.3172493908420951e-25
745.0,1.6749622646225075e-25
755.0,2.1144398412015464e-25
765.0,2.648863929313053e-25
775.0,3.3114104542102067e-25
785.0,4.269439982549689e-25
795.0,1.012982643593962e-24
805.0,1.2122310770066977e-23
815.0,2.0366343134509265e-22
825.0,2.8012883956633364e-21
835.0,3.027213244917303e-20
845.0,2.565636661542004e-19
855.0,1.70723502015228e-18
865.0,8.934751312764455e-18
875.0,3.6860995499360887e-17
885.0,1.2025838265012334e-16
895.0,3.1162374614413767e-16
905.0,6.45391364343836e-16
915.0,2.500479639848648e-13
925.0,2.4372844893328807e-13
935.0,2.516899661402969e-13
945.0,2.4874687485874653e-13
955.0,2.445028788777318e-13
965.0,2.4422168314735725e-13
975.0,2.316731084409991e-13
985.0,2.3238173261263264e-13
995.0,2.104820518591279e-13
1005.0,2.3845631373013053e-13
1015.0,2.191377237348778e-13
1025.0,1.584572257422573e-13
1035.0,1.9626585935780042e-13
1045.0,2.3935206928715467e-13
1055.0,2.3248433420842076e-13
1065.0,2.304808301846422e-13
1075.0,2.256065950231147e-13
1085.0,1.957737737253973e-13
1095.0,2.2665615300592758e-13
1105.0,2.2466942332281965e-13
1115.0,2.141617972336707e-13
1125.0,2.0457571317464268e-13
1135.0,2.1999837003099653e-13
1145.0,2.144265875925172e-13
1155.0,2.2505054615156245e-13
1165.0,2.606629409730282e-13
1175.0,3.4926942910217087e-13
1185.0,6.706463624271676e-13
1195.0,1.1242585089594996e-12
1205.0,1.5575534727434807e-12
1215.0,1.7258269285471148e-12
1225.0,1.5974777527496205e-12
1235.0,1.1508579986712744e-12
1245.0,7.745943124536076e-13
1255.0,4.422766040303524e-13
1265.0,2.949422286786466e-13
1275.0,2.422879805367518e-13
1285.0,2.263542413028058e-13
1295.0,2.1096191757699798e-13
1305.0,2.2628719600356362e-13
1315.0,2.2529930652313324e-13
1325.0,2.2486276375641802e-13
1335.0,2.214489192288724e-13
1345.0,2.2558777316968198e-13
1355.0,2.2453953971472397e-13
1365.0,2.11069747849688e-13
1375.0,2.2682865224005178e-13
1385.0,2.2633616354193266e-13
1395.0,2.25291880425202e-13
1405.0,2.2368679317877536e-13
1415.0,2.2437414001548436e-13
1425.0,2.177693614422611e-13
1435.0,2.2227846153724488e-13
1442.0,2.2343367371979052e-13
1447.0,2.2335980089427656e-13
1455.0,2.212085084619589e-13
1465.0,2.2089605159553645e-13
1475.0,2.2103383058615225e-13
1485.0,2.191201373962253e-13
1495.0,2.1966769487100045e-13
1505.0,2.1771045618953864e-13
1512.0,2.162166150403419e-13
1517.0,2.1234825133786033e-13
1525.0,2.1429801281946213e-13
1535.0,2.134077396282616e-13
1545.0,1.994246513464968e-13
1555.0,2.1479831740508502e-13
1565.0,2.0673533178868168e-13
1575.0,2.0571815460593246e-13
1585.0,2.048872492519598e-13
1595.0,2.1010631004174215e-13
1605.0,2.094221011297155e-13
1615.0,2.0704441077151613e-13
1625.0,2.0877653671890895e-13
1635.0,2.0788587205822078e-13
1645.0,2.1046135662696688e-13
1655.0,2.16740872430777e-13
1665.0,2.1721568702523467e-13
1672.0,2.143647766994069e-13
1677.0,2.0761403003904968e-13
1685.0,2.0862125043873115e-13
1695.0,2.0288465974748725e-13
1705.0,2.0038275556619656e-13
1715.0,1.9895548196772187e-13
1725.0,1.949851444391265e-13
1735.0,1.9728791396434283e-13
1745.0,1.9498098540076632e-13
1755.0,1.955924552384747e-13
1765.0,1.9431472303595645e-13
1775.0,1.934280244206107e-13
1785.0,1.9242538059138847e-13
1795.0,1.9250205489711028e-13
1805.0,1.9093500431052305e-13
1815.0,1.9084431168422252e-13
1825.0,1.9040454827689353e-13
1835.0,1.902456782707937e-13
1845.0,1.8969370595674808e-13
1855.0,1.9160485399548755e-13
1865.0,1.9693476602773119e-13
1875.0,2.100775642123879e-13
1885.0,2.282199437091248e-13
1895.0,2.5051349781908627e-13
1905.0,2.653192034250562e-13
1915.0,2.59106066570543e-13
1925.0,2.3766068594547445e-13
1935.0,2.1290655675355183e-13
1945.0,1.944438777052768e-13
1955.0,1.8355863307463787e-13
1967.0,1.7959613274867068e-13
1976.0,1.7826559344503207e-13
1984.0,1.7738565466214826e-13
1995.0,1.7645916127644062e-13
2005.0,1.7582184774120924e-13
2015.0,1.7527334078051031e-13
2025.0,1.7481815661747741e-13
2035.0,1.7379041452000504e-13
2045.0,1.7345832314524525e-13
2055.0,1.7609188369530814e-13
2065.0,1.7499007729454259e-13
2074.0,1.7525901617320245e-13
2078.0,1.7449331979321482e-13
2085.0,1.7420617601478626e-13
2095.0,1.7368023121194934e-13
2105.0,1.732778373198794e-13
2115.0,1.727019001815354e-13
2125.0,1.724457610271978e-13
2135.0,1.7177483996053476e-13
2145.0,1.7128271039774958e-13
2155.0,1.7081133096763487e-13
2165.0,1.7004322731138133e-13
2175.0,1.694622409469574e-13
2185.0,1.688633560786643e-13
2195.0,1.68578042440795e-13
2205.0,1.679173053532976e-13
2215.0,1.6729110725040502e-13
2225.0,1.6673342632792174e-13
2235.0,1.6654772719396372e-13
2245.0,1.659076479202227e-13
2255.0,1.6539456311598866e-13
2265.0,1.651790486672418e-13
2275.0,1.6535589625903147e-13
2285.0,1.6647691203846997e-13
2295.0,1.6889568695290305e-13
2305.0,1.7315033616328965e-13
2315.0,1.7726546930263048e-13
2325.0,1.782567732696647e-13
2335.0,1.7701007482354788e-13
2345.0,1.7208372533612183e-13
2355.0,1.6728238033830422e-13
2365.0,1.6336879712289423e-13
2375.0,1.6157392392537693e-13
2385.0,1.6031832170368593e-13
2395.0,1.600821221243249e-13
2405.0,1.5962998525536694e-13
2415.0,1.5950510022257027e-13
2425.0,1.5966638654352243e-13
2435.0,1.5984214619878076e-13
2445.0,1.6082697158501405e-13
2455.0,1.6189214274294732e-13
2465.0,1.6266316964133343e-13
2475.0,1.6241938588141464e-13
2485.0,1.6144050725546518e-13
2495.0,1.5973964126820283e-13
2505.0,1.5864319121945682e-13
2513.0,1.5751943047712648e-13
2518.0,1.5731854181395262e-13
2525.0,1.5685694034158078e-13
2535.0,1.5657527168147717e-13
2545.0,1.5634850055807726e-13
2555.0,1.5645712416750045e-13
2565.0,1.5617903962462716e-13
2575.0,1.5623719756667263e-13
2585.0,1.5608522563247567e-13
2595.0,1.559840983989272e-13
2605.0,1.5577751351039483e-13
2615.0,1.553399022134139e-13
2625.0,1.5693500393637667e-13
2635.0,1.6040071655743598e-13
2645.0,1.6559796206877612e-13
2655.0,1.701342964802601e-13
2665.0,1.7149524925941366e-13
2675.0,1.6940532795448082e-13
2685.0,1.6469459124833302e-13
2695.0,1.5957867105033796e-13
2705.0,1.5640552596045345e-13
2715.0,1.5451007598195374e-13
2725.0,1.537801241829662e-13
2735.0,1.5392691251488566e-13
2745.0,1.539137687174906e-13
2755.0,1.5578926037467775e-13
2765.0,1.59914190752645e-13
2775.0,1.667685181767613e-13
2785.0,1.741806806787843e-13
2795.0,1.783835897752829e-13
2805.0,1.7789355221917977e-13
2815.0,1.7256120906319107e-13
2825.0,1.6503506566351504e-13
2835.0,1.5880147151838987e-13
2845.0,1.5537358394729885e-13
2855.0,1.5384753290220897e-13
2865.0,1.5382401392065656e-13
2875.0,1.537970937685131e-13
2885.0,1.53861310878864e-13
2895.0,1.5393090745814048e-13
2910.0,1.5431541243486386e-13
2930.0,1.5430621096450447e-13
2950.0,1.5438537116537586e-13
2970.0,1.5469991040765705e-13
2990.0,1.548999734205308e-13
3010.0,1.5514535233707328e-13
3030.0,1.5550685558856428e-13
3050.0,1.5586059952682313e-13
3070.0,1.5625732607327316e-13
3090.0,1.5668755906676636e-13
3110.0,1.5707402141262773e-13
3130.0,1.569456906739754e-13
3150.0,1.5710863805595799e-13
3170.0,1.5736794186974937e-13
3190.0,1.574281918862349e-13
3210.0,1.5798018286914532e-13
3230.0,1.5824158771592347e-13
3250.0,1.5900563343443163e-13
3270.0,1.5969662853729848e-13
3290.0,1.6024665347996202e-13
3310.0,1.6077920006707187e-13
3330.0,1.6132417290606258e-13
3350.0,1.6177374862067728e-13
3370.0,1.6190218064962545e-13
3390.0,1.6257946283494576e-13
3410.0,1.6309513464869286e-13
3430.0,1.6300833507565886e-13
3450.0,1.5950546716881718e-13
3470.0,1.6006922430647295e-13
3490.0,1.607198660774391e-13
3510.0,1.6140163101859764e-13
3530.0,1.6184648288231502e-13
3550.0,1.6268823368048075e-13
3570.0,1.6281375790220728e-13
3590.0,1.6331089272603688e-13
3601.8274,1.6335433367975003e-13
3602.7275,1.6325445081382229e-13
3603.6279,1.6394913932537557e-13
3604.528,1.638844595573399e-13
3605.4282,1.631799015406558e-13
3606.3286,1.6399175459714972e-13
3607.2287,1.6421751985291732e-13
3608.1291,1.6415619392603948e-13
3609.0292,1.6376936628018854e-13
3609.9293,1.6366729812484827e-13
3610.8297,1.6371346133944161e-13
3611.7299,1.6367631705215435e-13
3612.6302,1.6419108581424873e-13
3613.5304,1.637715058471047e-13
3614.4305,1.6371876865282516e-13
3615.3309,1.642814808046589e-13
3616.231,1.646227372227508e-13
3617.1314,1.6466606881095996e-13
3618.0315,1.644586898338992e-13
3618.9317,1.6406066128047492e-13
3619.832,1.6381374105150152e-13
3620.7322,1.6395144618855205e-13
3621.6326,1.6431891216435665e-13
3622.5327,1.6470224240666974e-13
3623.4328,1.648801734725345e-13
3624.3332,1.647199939544081e-13
3625.2333,1.6450654985978165e-13
3626.1337,1.6466167628134718e-13
3627.0339,1.6513270495141292e-13
3627.934,1.6539223327314377e-13
3628.8344,1.6535796998787274e-13
3629.7345,1.6484708773016082e-13
3630.6349,1.642612395990434e-13
3631.535,1.6351201144452474e-13
3632.4351,1.635659972595095e-13
3633.3355,1.6316633981572848e-13
3634.2357,1.634069130959316e-13
3635.136,1.6347233001057983e-13
3636.0362,1.6330335228005647e-13
3636.9363,1.6314595397091246e-13
3637.8367,1.625538093614925e-13
3638.7368,1.6221851488737264e-13
3639.6372,1.6197635278623316e-13
3640.5373,1.5900604553881322e-13
3641.4375,1.5486109057415851e-13
3642.3379,1.509129355072168e-13
3643.238,1.4753578370780844e-13
3644.1384,1.4384792830206462e-13
3645.0385,1.402599419751166e-13
3645.9386,1.3685664362319632e-13
3646.839,1.3400943156321979e-13
3647.7391,1.3400125361096366e-13
3648.6395,1.3206730560038735e-13
3649.5397,1.2935942520320478e-13
3650.4398,1.2718212167965237e-13
3651.3402,1.2548540872079579e-13
3652.2403,1.2391374682820494e-13
3653.1407,1.224045880739808e-13
3654.0408,1.2091533815083833e-13
3654.941,1.1940339596841282e-13
3655.8413,1.179138678029362e-13
3656.7415,1.1630954151641434e-13
3657.6419,1.1475548157444052e-13
3658.542,1.1339543990867909e-13
3659.4421,1.1207938235460204e-13
3660.3425,1.1060208673236792e-13
3661.2426,1.0876573174846421e-13
3662.143,1.0787277917531143e-13
3663.0432,1.0675465305679517e-13
3663.9433,1.0533018698256503e-13
3664.8437,1.039430129852644e-13
3665.7438,1.0251084116997162e-13
3666.6442,1.0148001721858619e-13
3667.5443,1.0054401584613319e-13
3668.4445,9.978855040613108e-14
3669.3448,9.857194688248018e-14
3670.245,9.771413466937404e-14
3671.1453,9.77854467964774e-14
3672.0455,9.780677860172644e-14
3672.9456,9.759450260410388e-14
3673.846,9.786689312309326e-14
3674.7461,9.740474266120328e-14
3675.6465,9.734131077637188e-14
3676.5466,9.729099342341923e-14
3677.4468,9.71249059504859e-14
3678.3472,9.734682152193296e-14
3679.2473,9.727376208252535e-14
3680.1477,9.705187943519782e-14
3681.0478,9.684999043385286e-14
3681.9479,9.603169911207431e-14
3682.8483,9.603086077501741e-14
3683.7485,9.693739231369971e-14
3684.6488,9.704039834732047e-14
3685.549,9.683883892772755e-14
3686.4491,9.644996303607787e-14
3687.3495,9.611327617908112e-14
3688.2496,9.60316140846207e-14
3689.15,9.638582263716145e-14
3690.0501,9.680269121947335e-14
3690.9503,9.68269309905483e-14
3691.8507,9.658975780591725e-14
3692.7508,9.650578911238439e-14
3693.6512,9.672545294182191e-14
3694.5513,9.673932735849399e-14
3695.4514,9.673135501427288e-14
3696.3518,9.666599420521204e-14
3697.252,9.66196399005404e-14
3698.1523,9.661019049725476e-14
3699.0525,9.679591646777592e-14
3699.9526,9.719521881100343e-14
3700.853,9.750298064128478e-14
3701.7531,9.739140525523515e-14
3702.6535,9.699474753623367e-14
3703.5536,9.653584308817916e-14
3704.4538,9.611682258498694e-14
3705.3541,9.590370813290135e-14
3706.2543,9.60335521229134e-14
3707.1547,9.635817563146421e-14
3708.0548,9.668941227358546e-14
3708.9549,9.6782499439772e-14
3709.8553,9.659411267231242e-14
3710.7554,9.63988968376085e-14
3711.6558,9.627968639569172e-14
3712.556,9.62438301556999e-14
3713.4561,9.65542240997804e-14
3714.3565,9.703686427609611e-14
3715.2566,9.752985281849193e-14
3716.157,9.785302397040626e-14
3717.0571,9.828226351131196e-14
3717.9573,9.990857915323622e-14
3718.8576,1.0449252319229105e-13
3719.7578,1.1534749572094754e-13
3720.6582,1.362487717596688e-13
3721.5583,1.7250448090316465e-13
3722.4584,2.459555401460658e-13
3723.3588,4.2131485785278363e-13
3724.2589,8.030742789199177e-13
3725.1593,1.4551409169164424e-12
3726.0595,2.2950042422710904e-12
3726.9596,3.1172690318937163e-12
3727.86,3.737968544629947e-12
3728.7601,4.040819443500799e-12
3729.6605,3.900054084791686e-12
3730.5606,3.245485953004343e-12
3731.4608,2.249310388373136e-12
3732.3611,1.2787655616890567e-12
3733.2613,6.096812544335395e-13
3734.1617,2.703635813425163e-13
3735.0618,1.4141720303430929e-13
3735.9619,1.0452685242249186e-13
3736.8623,9.683754575947464e-14
3737.7624,9.595785969399016e-14
3738.6628,9.651171476739589e-14
3739.563,9.735337212958493e-14
3740.4631,9.804107406497375e-14
3741.3635,9.838143601730234e-14
3742.2636,9.844095033156e-14
3743.164,9.817893356357701e-14
3744.0641,9.778356564830155e-14
3744.9643,9.765775425629745e-14
3745.8646,9.73679034132526e-14
3746.7648,9.696405777283141e-14
3747.6652,9.683172795287486e-14
3748.5653,9.640180874621235e-14
3749.4654,9.555470504405798e-14
3750.3658,9.506245439330698e-14
3751.2659,9.548510131820871e-14
3752.1663,9.633769596197747e-14
3753.0665,9.705163583204039e-14
3753.9666,9.745914903764612e-14
3754.867,9.802529849197134e-14
3755.7671,9.860816851937637e-14
3756.6675,9.882779343666475e-14
3757.5676,9.865849013662598e-14
3758.4678,9.812904131386511e-14
3759.3681,9.780079442795363e-14
3760.2683,9.80254971681224e-14
3761.1687,9.83717535986415e-14
3762.0688,9.853787503632278e-14
3762.9689,9.872283299851865e-14
3763.8693,9.871091527877086e-14
3764.7694,9.848306239384854e-14
3765.6698,9.840718426065838e-14
3766.57,9.819526557392061e-14
3767.4701,9.759545055263266e-14
3768.3705,9.718013723874573e-14
3769.2706,9.702265630565509e-14
3770.171,9.665000904043185e-14
3771.0711,9.607928587415045e-14
3771.9713,9.569343155820506e-14
3772.8716,9.65758193457193e-14
3773.7718,9.747527645958662e-14
3774.6722,9.795712745314022e-14
3775.5723,9.814176571209779e-14
3776.4724,9.836495551394381e-14
3777.3728,9.869250952034704e-14
3778.2729,9.91299351363683e-14
3779.1733,9.944186607513118e-14
3780.0735,9.974927944381647e-14
3780.9736,1.0007289714372339e-13
3781.874,1.0025651052086421e-13
3782.7741,1.0032997131712148e-13
3783.6745,1.003847872902954e-13
3784.5746,1.0050782019648812e-13
3785.4748,1.0050722876041883e-13
3786.3751,1.001266526087176e-13
3787.2753,9.969005007087814e-14
3788.1757,9.94697651380526e-14
3789.0758,9.931310580238964e-14
3789.9759,9.918878339038958e-14
3790.8763,9.908958481953723e-14
3791.7765,9.91098115337152e-14
3792.6768,9.959713491013211e-14
3793.577,1.0190014715921773e-13
3794.4771,1.1082373746320427e-13
3795.3775,1.3665445360216692e-13
3796.2776,1.9134628802907037e-13
3797.178,2.733418540269496e-13
3798.0781,3.538568619205235e-13
3798.9783,3.8877698053226603e-13
3799.8787,3.555094979995795e-13
3800.7788,2.758454519817966e-13
3801.6792,1.9393293883781913e-13
3802.5793,1.386504226737312e-13
3803.4794,1.1209750129781772e-13
3804.3798,1.0289413787607216e-13
3805.28,1.0052465361373122e-13
3806.1803,1.0002515074585788e-13
3807.0805,9.987237555797115e-14
3807.9806,9.991156417425913e-14
3808.881,1.0020221422751102e-13
3809.7811,1.0060983092040722e-13
3810.6815,1.0099426418619621e-13
3811.5816,1.0114296677918347e-13
3812.4818,1.0095391757750458e-13
3813.3822,1.0052763861151394e-13
3814.2823,1.0008653532210631e-13
3815.1827,9.984799291980024e-14
3816.0828,9.977339926025778e-14
3816.983,9.991124177124476e-14
3817.8833,1.0026432223309889e-13
3818.7835,1.0044156879885769e-13
3819.6838,1.0008693353658913e-13
3820.584,9.940837350193246e-14
3821.4841,9.909986475630854e-14
3822.3845,9.930239089478459e-14
3823.2846,9.957677928573028e-14
3824.185,9.939589253088051e-14
3825.0852,9.877171176272808e-14
3825.9853,9.823089498020885e-14
3826.8857,9.797108437264136e-14
3827.7858,9.776726342009579e-14
3828.6862,9.749459365225782e-14
3829.5863,9.740977277346514e-14
3830.4865,9.851409984503125e-14
3831.3868,1.0409812204861138e-13
3832.287,1.229701447946536e-13
3833.1874,1.7131789047234427e-13
3834.0875,2.6239559543371236e-13
3834.9876,3.8252518818644054e-13
3835.888,4.799997242963386e-13
3836.7881,4.965546208666085e-13
3837.6885,4.217861318220931e-13
3838.5887,3.0217677462539607e-13
3839.4888,1.97757433820414e-13
3840.3892,1.3551389380564019e-13
3841.2893,1.0856173883103301e-13
3842.1897,1.0013733585538944e-13
3843.0898,9.8596804390775e-14
3843.99,9.884608657674872e-14
3844.8904,9.93172411510428e-14
3845.7905,9.957124206890192e-14
3846.6909,9.975212897647771e-14
3847.591,1.0001837876176154e-13
3848.4911,1.0033168871766492e-13
3849.3915,1.0048981884924504e-13
3850.2917,1.0036481282509978e-13
3851.192,1.0037047828440438e-13
3852.0922,1.0067345989098916e-13
3852.9923,1.0093041533008299e-13
3853.8927,1.010905993253554e-13
3854.7928,1.0107185252829906e-13
3855.6932,1.0092939865352711e-13
3856.5933,1.0072388151260379e-13
3857.4935,1.0066063339401158e-13
3858.3939,1.006950643419488e-13
3859.294,1.0054063677999756e-13
3860.1944,1.0022521599238441e-13
3861.0945,1.0011688698164917e-13
3861.9947,1.0071093239154319e-13
3862.895,1.0247273687238118e-13
3863.7952,1.0959180694584038e-13
3864.6956,1.4015899006256916e-13
3865.5957,2.4452945107296297e-13
3866.4958,5.142018329368583e-13
3867.3962,1.0291640508439619e-12
3868.2963,1.724618493787833e-12
3869.1967,2.3130789928385505e-12
3870.0969,2.4478724155043567e-12
3870.997,2.040049514910493e-12
3871.8974,1.3481595277977703e-12
3872.7975,7.252737896545379e-13
3873.6979,3.436456002696921e-13
3874.598,1.7384671956054025e-13
3875.4982,1.1739660518236218e-13
3876.3985,1.0317273389513753e-13
3877.2987,1.0012010717272642e-13
3878.1991,9.904168781923014e-14
3879.0992,9.83351347678923e-14
3879.9993,9.813668349186468e-14
3880.8997,9.82281515776419e-14
3881.7999,9.809982521589685e-14
3882.7002,9.78662434870202e-14
3883.6004,9.934618536331433e-14
3884.5005,1.0865687629853701e-13
3885.4009,1.4335949096909238e-13
3886.301,2.403759973871023e-13
3887.2014,4.4421290898449385e-13
3888.1015,7.536108252858445e-13
3889.0017,1.0664597643283569e-12
3889.9021,1.2148807979966338e-12
3890.8022,1.104256807370923e-12
3891.7026,8.059936374423669e-13
3892.6027,4.868498932696923e-13
3893.5029,2.642442752516905e-13
3894.4032,1.5281137405737609e-13
3895.3034,1.1140382078426588e-13
3896.2038,9.982551682839036e-14
3897.1039,9.766184974789913e-14
3898.004,9.78014012669128e-14
3898.9044,9.802381241518193e-14
3899.8045,9.80329180894952e-14
3900.7049,9.815998612299335e-14
3901.6051,9.85492495002743e-14
3902.5052,9.887949574635545e-14
